id,trigger,conditions,script,text,options,notes,,
#wisp_perseanchronicles_telosPt1_addevent,AddBarEvents,ShouldOfferTelos1,Telos1OfferQuest,,,,,
#wisp_perseanchronicles_telosPt1_selected,DialogOptionSelected,$option == wisp_perseanchronicles_telosPt1_selected,Telos1OfferSelected,,,,,
wisp_perseanchronicles_telosPt2_badfleetdefeated,wisp_perseanchronicles_telosPt2_badfleetdefeated,,Call $global.wisp_perseanchronicles_telosPt2 wisp_perseanchronicles_telosPt2_badfleetdefeated,,,,,
,,,,,,,,
# Karengo/Louia interaction,,,,,,,,
legiobareventencounter_introexit_perschron,DialogOptionSelected,"$option == legiobareventencounter_exit
$global.wisp_perseanchronicles_isKarengoInFleet","ShowSecondPerson wisp_perseanchronicles_karengo","""Suit yourself.""

As you are about to leave, she tosses you a data chip.

""Whatever you think of me, you seem like a capable individual. I might have some work for you in the future.""

A thick arm drapes itself over the back of her seat as she prepares to stand, and she pauses.

""I might have some work for you right now,"" says Karengo with practiced carelessness.
",legiobareventencounter_perschron1:Continue,,,
legiobareventencounter_introexit2_perschron,DialogOptionSelected,$option == legiobareventencounter_perschron1,AddPotentialContact,"""Oh?"" Louisa sinks back into the booth. ""And you are?""

""Karengo, professional adventurer. $PlayerHeOrShe's one of mine."" He looks her up and down, lingering on her crimson eyes. ""Those all that's augmented, then?""

Realization clicks and she stands, shimmying smoothly into the narrow corridor. ""You people aren't my type,"" she explains acidly to the air, and is gone.",backToBar:Return to the bar,,,
